question_id,question,answer_type,gold_answer,document,role,variant,answer_supported
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_03.md,conflict,wrong_scope,2.5 million Luma
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_04.md,noise,noise,
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_05.md,conflict,secondary,5.0 million Luma
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_06.md,conflict,draft,2.5 million Luma
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_07.md,conflict,stale,2.5 million Luma
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_08.md,gold,active_authoritative,3.8 million Luma
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_09.md,noise,noise,
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_10.md,conflict,secondary,2.5 million Luma
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_11.md,noise,noise,
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_12.md,conflict,stale,4.2 million Luma
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_01.md,conflict,draft,30 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_02.md,conflict,stale,24 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_03.md,conflict,secondary,18 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_04.md,conflict,wrong_scope,18 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_05.md,conflict,secondary,18 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_06.md,noise,noise,
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_07.md,conflict,secondary,36 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_08.md,conflict,draft,18 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_09.md,noise,noise,
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_10.md,noise,noise,
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_11.md,gold,active_authoritative,26 hours
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_12.md,conflict,stale,18 hours
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_01.md,noise,noise,
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_02.md,noise,noise,
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_03.md,conflict,stale,-20°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_04.md,conflict,secondary,-20°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_05.md,gold,active_authoritative,-47°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_06.md,conflict,stale,-35°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_07.md,conflict,wrong_scope,-20°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_08.md,noise,noise,
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_09.md,conflict,draft,-50°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_10.md,conflict,secondary,-20°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_11.md,conflict,draft,-20°C
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_12.md,conflict,secondary,-60°C
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_01.md,conflict,draft,15.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_02.md,conflict,stale,10.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_03.md,noise,noise,
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_04.md,noise,noise,
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_05.md,conflict,stale,12.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_06.md,conflict,secondary,10.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_07.md,gold,active_authoritative,13.6%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_08.md,conflict,wrong_scope,10.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_09.md,conflict,draft,10.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_10.md,noise,noise,
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_11.md,conflict,secondary,10.0%
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_12.md,conflict,secondary,17.5%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_01.md,conflict,secondary,1.00%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_02.md,conflict,secondary,1.25%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_03.md,noise,noise,
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_04.md,noise,noise,
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_05.md,conflict,stale,0.50%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_06.md,conflict,draft,1.00%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_07.md,conflict,stale,1.00%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_08.md,conflict,secondary,1.00%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_09.md,conflict,draft,0.85%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_10.md,conflict,wrong_scope,1.00%
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_11.md,noise,noise,
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_12.md,gold,active_authoritative,0.72%
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_01.md,conflict,draft,"1,600 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_02.md,noise,noise,
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_03.md,conflict,secondary,"2,000 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_04.md,conflict,secondary,"1,000 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_05.md,noise,noise,
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_06.md,conflict,stale,"1,000 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_07.md,conflict,draft,"1,000 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_08.md,gold,active_authoritative,"1,480 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_09.md,conflict,wrong_scope,"1,000 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_10.md,conflict,secondary,"1,000 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_11.md,conflict,stale,"1,250 cases"
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_12.md,noise,noise,
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_01.md,conflict,secondary,30 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_02.md,conflict,secondary,45 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_03.md,conflict,stale,15 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_04.md,noise,noise,
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_05.md,conflict,secondary,30 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_06.md,conflict,draft,30 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_07.md,conflict,draft,20 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_08.md,noise,noise,
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_09.md,conflict,stale,30 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_10.md,conflict,wrong_scope,30 minutes
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_11.md,noise,noise,
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_12.md,gold,active_authoritative,17 minutes
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_01.md,noise,noise,
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_02.md,conflict,stale,20 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_03.md,gold,active_authoritative,23 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_04.md,noise,noise,
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_05.md,conflict,secondary,32 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_06.md,conflict,wrong_scope,16 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_07.md,noise,noise,
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_08.md,conflict,secondary,16 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_09.md,conflict,stale,16 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_10.md,conflict,secondary,16 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_11.md,conflict,draft,25 inspection points
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_12.md,conflict,draft,16 inspection points
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_01.md,conflict,stale,25 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_02.md,conflict,draft,40 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_03.md,conflict,secondary,25 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_04.md,noise,noise,
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_05.md,conflict,wrong_scope,25 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_06.md,conflict,secondary,25 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_07.md,noise,noise,
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_08.md,conflict,secondary,50 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_09.md,noise,noise,
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_10.md,conflict,stale,30 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_11.md,conflict,draft,25 kilometers
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_12.md,gold,active_authoritative,38 kilometers
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_01.md,conflict,wrong_scope,5.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_02.md,conflict,stale,5.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_03.md,conflict,secondary,5.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_04.md,conflict,draft,4.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_05.md,noise,noise,
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_06.md,noise,noise,
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_07.md,noise,noise,
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_08.md,conflict,secondary,6.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_09.md,conflict,secondary,5.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_10.md,conflict,stale,2.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_11.md,conflict,draft,5.0°C
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_12.md,gold,active_authoritative,3.4°C
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_01.md,conflict,wrong_scope,every 30 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_02.md,conflict,secondary,every 30 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_03.md,noise,noise,
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_04.md,noise,noise,
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_05.md,noise,noise,
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_06.md,conflict,draft,every 30 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_07.md,conflict,stale,every 30 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_08.md,conflict,secondary,every 30 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_09.md,conflict,secondary,every 45 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_10.md,conflict,draft,every 21 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_11.md,gold,active_authoritative,every 19 days
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_12.md,conflict,stale,every 14 days
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_01.md,conflict,archived,10 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_02.md,conflict,draft,10 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_03.md,conflict,secondary,10 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_04.md,gold,active_authoritative,14 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_05.md,conflict,wrong_scope,10 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_06.md,conflict,superseded,12 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_07.md,conflict,faq,12 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_08.md,conflict,planning,18 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_09.md,conflict,training,18 sessions
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_10.md,noise,noise_1,
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_11.md,noise,noise_2,
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_12.md,noise,noise_3,
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_01.md,conflict,archived,"2,048 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_02.md,conflict,draft,"2,048 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_03.md,conflict,secondary,"2,048 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_04.md,conflict,wrong_scope,"2,048 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_05.md,conflict,superseded,"4,096 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_06.md,conflict,faq,"4,096 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_07.md,conflict,planning,"1,536 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_08.md,conflict,training,"1,536 bits"
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_09.md,gold,active_authoritative,"3,072 bits"
